year number.m crude.m rate70.m rate00.m
1930 4594 7.7 13.7 17.8
1931 4876 8.2 14.1 18.4
1932 5419 9.0 15.2 19.8
1933 5980 9.4 15.8 20.7
1934 6578 10.3 17.2 22.7
1935 6765 10.6 17.2 22.7
1936 7140 11.1 17.9 23.8
1937 7490 11.6 18.3 24.2
1938 8069 12.4 19.3 25.7
1939 8514 13.0 20.0 26.8
1940 8946 13.5 20.5 27.4
1941 9274 13.9 21.1 28.7
1942 8815 13.0 19.7 27.1
1943 8901 13.0 19.7 27.3
1944 9439 13.6 20.2 27.9
1945 10145 14.5 21.2 29.3
1946 10616 15.0 21.7 30.3
1947 11050 15.4 21.9 30.7
1948 11758 16.1 22.8 31.9
1949 11042 14.9 20.8 29.3
1950 11339 15.0 20.6 28.9
1951 11492 15.0 20.4 28.6
1952 12181 15.6 21.0 29.7
1953 12595 15.9 21.2 29.8
1954 13218 16.4 21.6 30.5
1955 13475 16.4 21.4 30.1
1956 13994 16.8 21.8 31.0
1957 14296 16.9 21.6 30.6
1958 14061 16.3 20.9 29.6
1959 14037 16.0 20.4 28.9
1960 14452 16.2 20.6 29.3
1961 14941 16.5 20.8 29.8
1962 15173 16.5 20.8 29.7
1963 15446 16.6 20.9 29.9
1964 15548 16.4 20.6 29.4
1965 15911 16.6 20.8 29.8
1966 15941 16.5 20.6 29.5
1967 16345 16.8 20.8 29.8
1968 16848 17.1 21.1 30.1
1969 16836 17.0 20.8 29.7
1970 17252 17.2 21.0 30.0
1971 17772 17.5 21.1 30.1
1972 18228 17.8 21.3 30.4
1973 18830 18.2 21.7 31.0
1974 19184 18.4 21.7 30.9
1975 19427 18.4 21.5 30.8
1976 20352 19.1 22.0 31.6
1977 20790 19.4 22.1 31.7
1978 21674 20.0 22.6 32.6
1979 22240 20.3 22.6 32.7
1980 22881 20.8 22.9 33.3
1981 23370 21.0 22.9 33.2
1982 24021 21.3 23.0 33.4
1983 24959 22.0 23.4 33.9
1984 25407 22.2 23.4 34.1
1985 25943 22.4 23.4 33.9
1986 27262 23.3 24.1 34.9
1987 27864 23.6 24.1 35.1
1988 28982 24.3 24.7 35.9
1989 30520 25.4 25.4 37.1
1990 32378 26.7 26.6 38.9
1991 33564 27.3 26.7 39.2
1992 34240 27.5 26.6 39.1
1993 34865 27.7 26.4 39.2
1994 34902 27.5 25.8 38.3
1995 34475 26.9 24.8 37.0
1996 34123 26.3 24.0 35.7
1997 32891 25.1 22.6 33.8
1998 32203 24.4 21.5 32.2
