year number.f crude.f rate70.f rate00.f
1930 13982 24.1 30.7 36.3
1931 14299 24.5 30.7 36.5
1932 14706 25.0 30.9 36.7
1933 15231 24.5 30.1 35.6
1934 15647 25.0 30.1 35.6
1935 15875 25.1 30.0 35.7
1936 16305 25.6 30.2 36.0
1937 16360 25.5 29.7 35.6
1938 16326 25.3 28.9 34.4
1939 16527 25.4 28.8 34.3
1940 16741 25.5 28.5 34.0
1941 16516 24.8 27.4 32.7
1942 16393 24.4 26.7 32.1
1943 16968 24.9 27.0 32.4
1944 17152 24.9 26.7 31.9
1945 17255 24.7 26.3 31.6
1946 17208 24.3 25.7 30.9
1947 17455 24.2 25.5 30.6
1948 17120 23.3 24.5 29.4
1949 16262 21.7 22.5 27.0
1950 16085 21.1 21.8 26.2
1951 15398 19.9 20.5 24.5
1952 15264 19.4 19.8 23.8
1953 15547 19.4 19.7 23.6
1954 15130 18.5 18.7 22.5
1955 15170 18.2 18.3 22.0
1956 14784 17.4 17.5 21.0
1957 14854 17.2 17.2 20.6
1958 14940 17.0 16.9 20.3
1959 14388 16.1 15.9 19.2
1960 14416 15.8 15.7 18.9
1961 14382 15.5 15.2 18.3
1962 14290 15.1 14.9 17.8
1963 14147 14.7 14.4 17.4
1964 13987 14.4 14.0 16.9
1965 13838 14.0 13.6 16.4
1966 13396 13.4 12.9 15.6
1967 13143 13.0 12.4 15.0
1968 12759 12.5 11.8 14.3
1969 12475 12.1 11.4 13.7
1970 12060 11.6 10.8 13.1
1971 12216 11.5 10.7 12.9
1972 12092 11.3 10.4 12.6
1973 11774 10.9 9.9 12.0
1974 11604 10.6 9.6 11.6
1975 11153 10.1 9.0 10.9
1976 11289 10.1 8.9 10.8
1977 10942 9.7 8.4 10.2
1978 10872 9.5 8.2 10.0
1979 10733 9.3 7.9 9.6
1980 10931 9.4 7.9 9.6
1981 10718 9.1 7.6 9.2
1982 10616 8.9 7.4 9.0
1983 10692 8.9 7.3 8.9
1984 10558 8.7 7.1 8.6
1985 10488 8.6 6.9 8.5
1986 10427 8.5 6.8 8.3
1987 10336 8.3 6.6 8.1
1988 10357 8.3 6.5 8.0
1989 10354 8.2 6.4 7.9
1990 10679 8.4 6.5 8.1
1991 10464 8.1 6.3 7.7
1992 10717 8.2 6.3 7.8
1993 10700 8.1 6.2 7.6
1994 10789 8.1 6.2 7.6
1995 10752 8.0 6.0 7.5
1996 10874 8.0 6.0 7.4
1997 10706 7.8 5.9 7.2
1998 10777 7.8 5.8 7.2
