year number.m crude.m rate70.m rate00.m number.f crude.f rate70.f rate00.f
1930 1818 3.1 3.8 4.3 1019 1.8 2.3 2.6
1931 1989 3.3 4.1 4.7 1079 1.8 2.3 2.6
1932 2336 3.9 4.8 5.4 1135 1.9 2.5 2.8
1933 2600 4.1 5.0 5.7 1261 2.0 2.6 3.0
1934 3026 4.7 5.7 6.4 1347 2.2 2.7 3.1
1935 3491 5.4 6.5 7.5 1558 2.5 3.1 3.5
1936 3862 6.0 7.0 8.0 1739 2.7 3.4 3.9
1937 4401 6.8 7.9 9.0 1718 2.7 3.2 3.8
1938 4868 7.5 8.6 9.9 1913 3.0 3.5 4.1
1939 5324 8.1 9.3 10.5 1955 3.0 3.5 4.1
1940 6057 9.1 10.3 11.6 2029 3.1 3.6 4.1
1941 6525 9.8 10.9 12.3 2263 3.4 4.0 4.6
1942 7050 10.4 11.6 13.1 2348 3.5 4.0 4.7
1943 7678 11.2 12.4 14.0 2572 3.8 4.2 4.9
1944 8369 12.1 13.3 14.8 2712 3.9 4.4 5.1
1945 9206 13.1 14.3 16.0 2924 4.2 4.6 5.3
1946 10427 14.8 16.1 18.1 3043 4.3 4.7 5.5
1947 12087 16.8 18.3 20.5 3360 4.7 5.1 6.1
1948 13419 18.3 20.0 22.6 3683 5.0 5.5 6.4
1949 13507 18.2 19.8 22.3 3153 4.2 4.6 5.6
1950 14922 19.8 21.5 24.3 3391 4.5 4.8 5.8
1951 16219 21.1 23.0 25.8 3506 4.5 4.9 5.9
1952 17821 22.8 24.8 28.0 3761 4.8 5.1 6.1
1953 19740 24.9 27.0 30.4 3762 4.7 4.9 6.0
1954 20911 26.0 28.1 31.7 3877 4.7 4.9 6.0
1955 22703 27.7 30.0 33.9 4123 5.0 5.1 6.2
1956 24817 29.8 32.3 36.4 4364 5.1 5.3 6.3
1957 26287 31.0 33.7 37.9 4489 5.2 5.3 6.4
1958 27527 31.9 34.7 39.2 4786 5.4 5.5 6.7
1959 29335 33.5 36.5 41.3 4967 5.5 5.6 6.7
1960 31257 35.1 38.3 43.5 5163 5.7 5.7 6.9
1961 33211 36.6 40.1 45.5 5718 6.2 6.1 7.4
1962 35312 38.4 42.1 47.9 6064 6.4 6.3 7.6
1963 36980 39.6 43.7 49.9 6588 6.9 6.7 8.1
1964 38909 41.2 45.4 51.7 6929 7.1 6.9 8.3
1965 40879 42.8 47.2 54.1 7604 7.7 7.5 8.9
1966 43174 44.7 49.4 56.7 8304 8.3 8.0 9.6
1967 45383 46.5 51.4 59.3 9024 8.9 8.5 10.1
1968 49017 49.8 55.0 63.5 10639 10.4 9.9 11.8
1969 50658 51.0 56.3 65.1 11472 11.1 10.5 12.3
1970 53015 53.0 58.5 67.9 12451 11.9 11.2 13.2
1971 55158 54.3 59.9 69.9 13774 13.0 12.1 14.2
1972 57868 56.4 62.0 72.3 15014 14.0 13.0 15.2
1973 59367 57.4 62.8 73.4 15838 14.6 13.4 15.7
1974 61813 59.2 64.5 75.6 17349 15.8 14.4 16.8
1975 63623 60.4 65.4 76.7 18732 16.9 15.3 17.8
1976 66120 62.2 66.9 78.8 20595 18.4 16.5 19.1
1977 68723 64.0 68.5 80.8 22112 19.6 17.4 20.1
1978 71255 65.7 69.8 82.4 24179 21.2 18.7 21.5
1979 73060 66.7 70.4 83.3 25731 22.3 19.4 22.4
1980 75795 68.9 72.1 85.5 28406 24.4 21.1 24.3
1981 77029 69.1 72.0 85.6 29883 25.3 21.8 25.1
1982 79509 70.6 73.3 87.2 32285 27.1 23.1 26.6
1983 80645 71.0 73.3 87.5 34778 28.9 24.5 28.2
1984 82810 72.2 74.3 88.7 36353 30.0 25.2 29.1
1985 84145 72.7 74.5 89.0 38782 31.7 26.5 30.5
1986 85355 73.0 74.6 89.4 40556 32.9 27.3 31.5
1987 87590 74.3 75.5 90.5 42830 34.4 28.4 32.8
1988 88368 74.2 75.2 90.3 45316 36.1 29.5 34.3
1989 89409 74.3 75.0 90.2 48199 38.1 30.9 35.9
1990 91460 75.4 75.9 91.5 50286 39.4 31.8 37.1
1991 92049 74.9 74.8 90.4 52162 40.4 32.2 37.8
1992 91776 73.8 73.2 88.5 54644 41.8 33.2 38.9
1993 92885 73.8 72.8 88.1 56388 42.7 33.6 39.6
1994 92210 72.6 71.1 86.2 57704 43.3 33.8 40.0
1995 92190 71.9 69.7 84.9 59439 44.2 34.2 40.7
1996 91959 71.0 68.4 83.4 60494 44.6 34.3 40.9
1997 91687 70.1 66.9 81.9 62053 45.3 34.6 41.3
1998 91776 69.5 65.7 80.4 63196 45.7 34.7 41.6
