year number.m crude.m rate70.m rate00.m number.f crude.f rate70.f rate00.f
1930 1634 2.8 3.8 4.5 1300 2.2 3.3 3.8
1931 1685 2.8 3.9 4.7 1420 2.4 3.5 4.1
1932 1770 2.9 4.1 4.9 1570 2.7 3.8 4.5
1933 1981 3.1 4.3 5.1 1586 2.6 3.6 4.3
1934 2126 3.3 4.6 5.4 1649 2.6 3.7 4.4
1935 2309 3.6 4.8 5.6 1809 2.9 3.9 4.7
1936 2446 3.8 5.0 6.0 1994 3.1 4.2 5.1
1937 2594 4.0 5.2 6.2 2011 3.1 4.1 5.0
1938 2737 4.2 5.5 6.7 2169 3.4 4.4 5.4
1939 2972 4.5 5.8 7.0 2311 3.5 4.6 5.6
1940 3027 4.6 5.7 6.8 2330 3.5 4.5 5.4
1941 3180 4.8 6.0 7.2 2511 3.8 4.7 5.7
1942 3257 4.8 6.0 7.3 2505 3.7 4.6 5.6
1943 3297 4.8 5.9 7.1 2426 3.6 4.3 5.2
1944 3458 5.0 6.0 7.3 2588 3.7 4.5 5.5
1945 3738 5.3 6.4 7.8 2852 4.1 4.8 5.9
1946 3878 5.5 6.6 8.0 2942 4.2 4.9 6.0
1947 4445 6.2 7.4 9.0 3142 4.4 5.0 6.2
1948 4753 6.5 7.7 9.4 3481 4.7 5.4 6.7
1949 5060 6.8 8.0 9.8 3632 4.9 5.5 6.9
1950 5213 6.9 8.1 9.9 3739 4.9 5.5 6.8
1951 5573 7.3 8.5 10.3 3775 4.9 5.4 6.7
1952 5722 7.3 8.5 10.4 4069 5.2 5.7 7.1
1953 6008 7.6 8.8 10.7 4157 5.2 5.6 7.1
1954 6451 8.0 9.2 11.2 4467 5.5 5.8 7.3
1955 6751 8.2 9.4 11.5 4588 5.5 5.8 7.3
1956 7224 8.7 9.9 12.2 5097 6.0 6.3 7.9
1957 7269 8.6 9.8 12.0 5074 5.9 6.1 7.6
1958 7480 8.7 9.9 12.1 5271 6.0 6.2 7.8
1959 7854 9.0 10.2 12.6 5462 6.1 6.2 7.8
1960 7982 9.0 10.2 12.6 5693 6.3 6.3 8.0
1961 8449 9.3 10.6 13.1 5900 6.3 6.4 8.1
1962 8725 9.5 10.8 13.2 6294 6.7 6.6 8.3
1963 8944 9.6 11.0 13.5 6382 6.7 6.5 8.3
1964 8900 9.4 10.7 13.2 6483 6.7 6.5 8.2
1965 9237 9.7 11.1 13.7 6765 6.9 6.6 8.3
1966 9406 9.7 11.1 13.8 6954 7.0 6.6 8.4
1967 9696 9.9 11.3 14.0 7190 7.1 6.7 8.4
1968 9917 10.1 11.5 14.2 7464 7.3 6.8 8.5
1969 9932 10.0 11.4 14.1 7717 7.5 6.9 8.7
1970 10063 10.1 11.4 14.0 7825 7.5 6.8 8.6
1971 9967 9.8 11.1 13.7 7945 7.5 6.7 8.4
1972 10006 9.8 10.9 13.4 8034 7.5 6.6 8.3
1973 10380 10.0 11.2 14.0 8273 7.6 6.7 8.4
1974 10208 9.8 10.9 13.4 8688 7.9 6.9 8.6
1975 10606 10.1 11.1 13.8 8831 8.0 6.8 8.5
1976 10639 10.0 10.9 13.6 9099 8.1 6.8 8.6
1977 10938 10.2 11.1 13.8 9527 8.4 7.0 8.8
1978 11010 10.2 10.9 13.6 9767 8.6 7.0 8.8
1979 11023 10.1 10.7 13.4 10035 8.7 6.9 8.8
1980 10994 10.0 10.6 13.2 10325 8.9 7.0 8.9
1981 11191 10.0 10.6 13.2 10601 9.0 7.0 8.9
1982 11228 10.0 10.4 13.1 10782 9.1 7.0 8.8
1983 11240 9.9 10.3 12.8 11292 9.4 7.2 9.1
1984 11517 10.0 10.4 13.0 11638 9.6 7.3 9.2
1985 11542 10.0 10.3 12.9 11560 9.5 7.1 9.0
1986 11403 9.8 10.0 12.5 12055 9.8 7.2 9.2
1987 11550 9.8 10.0 12.5 12187 9.8 7.2 9.2
1988 11722 9.8 10.0 12.5 12126 9.7 7.0 9.0
1989 11965 9.9 10.0 12.6 12578 9.9 7.2 9.2
1990 12199 10.1 10.1 12.7 12883 10.1 7.2 9.3
1991 12375 10.1 10.0 12.6 13161 10.2 7.2 9.3
1992 12672 10.2 10.1 12.6 13399 10.3 7.2 9.3
1993 12669 10.1 9.9 12.4 13776 10.4 7.4 9.4
1994 12920 10.2 9.9 12.4 13914 10.4 7.3 9.4
1995 12826 10.0 9.6 12.1 13940 10.4 7.2 9.3
1996 13027 10.1 9.6 12.1 14233 10.5 7.2 9.3
1997 13470 10.3 9.7 12.2 14205 10.4 7.1 9.2
1998 13806 10.5 9.8 12.3 14529 10.5 7.2 9.3
