year number.m crude.m rate70.m rate00.m number.f crude.f rate70.f rate00.f
1930 1485 2.5 2.9 3.0 1023 1.8 2.0 2.1
1931 1575 2.6 3.0 3.2 1117 1.9 2.2 2.3
1932 1572 2.6 3.0 3.2 1198 2.0 2.3 2.5
1933 1809 2.9 3.2 3.4 1279 2.1 2.3 2.5
1934 1900 3.0 3.3 3.6 1503 2.4 2.7 2.9
1935 2053 3.2 3.6 3.8 1499 2.4 2.6 2.8
1936 2086 3.2 3.7 3.9 1542 2.4 2.7 2.9
1937 2224 3.4 3.8 4.1 1675 2.6 2.9 3.1
1938 2403 3.7 4.1 4.5 1723 2.7 3.0 3.2
1939 2566 3.9 4.4 4.8 1929 3.0 3.2 3.5
1940 3003 4.5 5.1 5.4 2140 3.3 3.6 3.9
1941 2995 4.5 5.0 5.3 2208 3.3 3.6 3.9
1942 3104 4.6 5.1 5.5 2330 3.5 3.7 4.0
1943 3260 4.8 5.3 5.7 2398 3.5 3.8 4.0
1944 3455 5.0 5.5 5.9 2485 3.6 3.8 4.1
1945 3622 5.2 5.6 6.1 2682 3.8 4.1 4.4
1946 3855 5.5 5.9 6.5 2753 3.9 4.1 4.5
1947 4242 5.9 6.5 7.2 3051 4.2 4.5 4.8
1948 4512 6.2 6.7 7.5 3270 4.4 4.7 5.1
1949 4705 6.3 6.9 7.6 3397 4.5 4.7 5.2
1950 5058 6.7 7.3 8.2 3787 5.0 5.1 5.7
1951 5458 7.1 7.7 8.7 3899 5.0 5.2 5.8
1952 5612 7.2 7.8 8.8 4229 5.4 5.5 6.2
1953 5740 7.2 7.9 9.1 4178 5.2 5.3 6.0
1954 5989 7.4 8.1 9.4 4454 5.4 5.5 6.2
1955 6303 7.7 8.4 9.6 4513 5.4 5.5 6.2
1956 6523 7.8 8.5 9.8 4873 5.7 5.8 6.6
1957 6745 8.0 8.6 9.9 4973 5.8 5.8 6.6
1958 6956 8.1 8.9 10.4 5024 5.7 5.7 6.5
1959 7123 8.1 8.8 10.2 5147 5.7 5.7 6.6
1960 7371 8.3 9.0 10.5 5354 5.9 5.9 6.7
1961 7569 8.3 9.2 10.9 5304 5.7 5.6 6.5
1962 7493 8.1 9.0 10.6 5504 5.8 5.7 6.7
1963 7807 8.4 9.2 11.0 5700 5.9 5.8 6.7
1964 7746 8.2 9.0 10.8 5707 5.9 5.7 6.7
1965 7840 8.2 9.1 10.9 5788 5.9 5.7 6.7
1966 8060 8.3 9.3 11.2 5952 6.0 5.7 6.8
1967 8222 8.4 9.4 11.3 6114 6.0 5.8 6.8
1968 8174 8.3 9.2 11.2 6201 6.1 5.8 6.9
1969 8256 8.3 9.3 11.3 6194 6.0 5.6 6.8
1970 8128 8.1 9.0 11.0 6364 6.1 5.7 6.8
1971 8206 8.1 9.0 11.0 6263 5.9 5.5 6.6
1972 8184 8.0 8.9 10.9 6218 5.8 5.3 6.4
1973 8262 8.0 8.8 10.9 6216 5.7 5.2 6.3
1974 8231 7.9 8.7 10.8 6344 5.8 5.2 6.3
1975 8382 8.0 8.7 10.9 6372 5.8 5.1 6.2
1976 8556 8.0 8.8 10.8 6500 5.8 5.1 6.2
1977 8611 8.0 8.7 10.8 6718 6.0 5.1 6.3
1978 8683 8.0 8.6 10.8 6708 5.9 5.0 6.1
1979 9006 8.2 8.8 11.0 7122 6.2 5.2 6.4
1980 9306 8.5 9.0 11.2 7367 6.3 5.2 6.5
1981 9189 8.2 8.7 10.9 7229 6.1 5.0 6.2
1982 9357 8.3 8.7 11.0 7497 6.3 5.1 6.3
1983 9427 8.3 8.6 10.9 7548 6.3 5.0 6.3
1984 9378 8.2 8.4 10.7 7836 6.5 5.1 6.4
1985 9543 8.2 8.5 10.7 7908 6.5 5.1 6.3
1986 9662 8.3 8.4 10.7 7829 6.4 4.9 6.1
1987 9459 8.0 8.1 10.3 7936 6.4 4.9 6.1
1988 9812 8.2 8.3 10.6 7881 6.3 4.7 6.0
1989 10117 8.4 8.4 10.6 8239 6.5 4.9 6.1
1990 10270 8.5 8.5 10.8 8420 6.6 4.9 6.2
1991 10257 8.3 8.2 10.5 8795 6.8 5.0 6.3
1992 10681 8.6 8.4 10.7 8689 6.7 4.9 6.1
1993 10839 8.6 8.4 10.6 8817 6.7 4.8 6.1
1994 10917 8.6 8.3 10.5 8850 6.6 4.8 6.0
1995 11316 8.8 8.4 10.8 8948 6.7 4.7 6.0
1996 11231 8.7 8.2 10.5 9191 6.8 4.8 6.1
1997 11345 8.7 8.1 10.4 9076 6.6 4.7 5.9
1998 11272 8.5 7.9 10.1 9148 6.6 4.6 5.9
