year number.m crude.m rate70.m rate00.m number.f crude.f rate70.f rate00.f
1930 14738 24.8 37.8 46.3 10490 18.1 28.1 35.2
1931 14818 24.8 37.2 45.7 10384 17.8 27.1 33.8
1932 15070 25.1 36.8 45.1 10631 18.1 26.9 33.7
1933 15706 24.8 36.1 44.2 10860 17.5 25.9 32.5
1934 15894 24.9 35.8 44.0 10975 17.5 25.3 31.6
1935 16077 25.1 35.5 43.7 11027 17.5 24.9 31.4
1936 16210 25.1 35.1 43.4 11031 17.3 24.4 30.9
1937 16150 24.9 34.3 42.5 10758 16.8 23.1 29.2
1938 16288 25.0 33.8 41.9 10814 16.7 22.8 28.9
1939 15910 24.2 32.5 40.3 10277 15.8 21.2 26.9
1940 16109 24.3 32.3 40.1 10024 15.2 20.2 25.7
1941 15754 23.5 30.9 38.5 9811 14.8 19.2 24.6
1942 16027 23.7 30.7 38.1 10271 15.3 19.5 25.0
1943 15854 23.1 29.7 36.9 9866 14.5 18.3 23.5
1944 15843 22.8 29.1 36.2 9802 14.2 17.6 22.5
1945 15916 22.7 28.5 35.5 9916 14.2 17.3 22.2
1946 15984 22.6 28.1 35.1 9641 13.6 16.4 21.1
1947 16295 22.6 28.0 35.0 9672 13.4 16.0 20.7
1948 16321 22.3 27.5 34.6 9894 13.5 15.9 20.6
1949 15632 21.0 25.7 32.3 9159 12.2 14.2 18.5
1950 15280 20.2 24.6 31.1 8978 11.8 13.5 17.6
1951 14966 19.5 23.5 29.7 8717 11.2 12.7 16.5
1952 14758 18.9 22.7 28.7 8708 11.0 12.3 16.1
1953 14752 18.6 22.2 28.1 8621 10.7 11.8 15.6
1954 14575 18.1 21.5 27.3 8444 10.3 11.2 14.8
1955 14119 17.2 20.3 25.8 8138 9.8 10.5 13.7
1956 13952 16.7 19.7 25.2 8167 9.6 10.2 13.5
1957 13542 16.0 18.7 23.9 7980 9.2 9.7 12.7
1958 13089 15.2 17.8 22.6 7944 9.0 9.4 12.3
1959 13271 15.1 17.7 22.6 7753 8.7 8.9 11.8
1960 13085 14.7 17.2 21.8 7774 8.5 8.7 11.5
1961 12647 13.9 16.3 20.9 7466 8.0 8.1 10.7
1962 11947 13.0 15.2 19.5 7431 7.9 7.8 10.4
1963 11896 12.7 15.0 19.4 7404 7.7 7.6 10.2
1964 11627 12.3 14.4 18.4 6929 7.1 6.9 9.2
1965 11059 11.6 13.5 17.5 6968 7.1 6.8 9.0
1966 10750 11.1 13.0 16.7 6873 6.9 6.5 8.7
1967 10396 10.7 12.4 16.1 6654 6.6 6.2 8.2
1968 10330 10.5 12.2 15.7 6571 6.4 5.9 7.9
1969 10000 10.1 11.7 15.0 6429 6.2 5.7 7.5
1970 9805 9.8 11.3 14.5 6218 6.0 5.4 7.1
1971 9421 9.3 10.7 13.8 6170 5.8 5.2 6.8
1972 9320 9.1 10.4 13.4 6158 5.7 5.0 6.6
1973 9178 8.9 10.1 13.0 6020 5.6 4.8 6.3
1974 9159 8.8 9.9 12.7 6012 5.5 4.7 6.1
1975 8955 8.5 9.5 12.2 6026 5.4 4.6 6.0
1976 8868 8.3 9.2 12.0 5878 5.3 4.3 5.7
1977 8688 8.1 8.9 11.5 5753 5.1 4.1 5.4
1978 8529 7.9 8.6 11.0 5923 5.2 4.1 5.5
1979 8650 7.9 8.5 11.0 5859 5.1 4.0 5.2
1980 8514 7.7 8.3 10.6 5858 5.0 3.9 5.2
1981 8631 7.7 8.2 10.6 5797 4.9 3.8 5.0
1982 8506 7.6 7.9 10.3 5787 4.9 3.7 4.9
1983 8362 7.4 7.7 9.9 5790 4.8 3.6 4.8
1984 8469 7.4 7.7 9.9 5777 4.8 3.5 4.7
1985 8345 7.2 7.4 9.5 5606 4.6 3.4 4.4
1986 8400 7.2 7.4 9.4 5455 4.4 3.2 4.2
1987 8241 7.0 7.1 9.1 5501 4.4 3.2 4.2
1988 8105 6.8 6.9 8.8 5571 4.4 3.1 4.2
1989 8520 7.1 7.1 9.2 5666 4.5 3.1 4.2
1990 8336 6.9 6.9 8.9 5737 4.5 3.2 4.2
1991 8569 7.0 6.9 8.9 5656 4.4 3.0 4.0
1992 8004 6.4 6.3 8.1 5626 4.3 3.0 3.9
1993 8229 6.5 6.4 8.2 5621 4.3 2.9 3.9
1994 8039 6.3 6.1 7.9 5531 4.1 2.8 3.7
1995 8010 6.2 6.0 7.7 5635 4.2 2.8 3.7
1996 7859 6.1 5.7 7.4 5477 4.0 2.7 3.6
1997 7766 5.9 5.5 7.2 5296 3.9 2.6 3.4
1998 7565 5.7 5.3 6.8 5394 3.9 2.6 3.4
