year number.m crude.m rate70.m rate00.m number.f crude.f rate70.f rate00.f
1930 4420 7.4 11.5 14.1 5902 10.2 15.7 19.3
1931 4299 7.2 10.9 13.4 5895 10.1 15.2 18.6
1932 4343 7.2 10.6 13.0 6038 10.3 15.1 18.6
1933 4561 7.2 10.6 13.0 6034 9.7 14.2 17.4
1934 4596 7.2 10.4 12.8 6072 9.7 13.8 17.0
1935 4434 6.9 9.8 12.2 6045 9.6 13.4 16.5
1936 4490 7.0 9.7 12.0 5935 9.3 12.9 16.1
1937 4418 6.8 9.4 11.5 5879 9.2 12.4 15.4
1938 4303 6.6 9.1 11.3 5763 8.9 11.9 14.9
1939 4332 6.6 8.9 11.1 5630 8.6 11.4 14.1
1940 4207 6.3 8.4 10.5 5540 8.4 10.9 13.6
1941 4301 6.4 8.4 10.5 5580 8.4 10.7 13.3
1942 4410 6.5 8.5 10.6 5794 8.6 10.8 13.4
1943 4725 6.9 8.9 11.0 6247 9.2 11.3 14.1
1944 4944 7.1 9.0 11.2 6233 9.0 11.0 13.7
1945 5080 7.3 9.0 11.2 6127 8.8 10.4 12.9
1946 4806 6.8 8.3 10.2 5998 8.5 9.9 12.3
1947 4576 6.4 7.7 9.6 5996 8.3 9.7 12.2
1948 4766 6.5 7.9 9.8 5832 7.9 9.1 11.3
1949 4429 6.0 7.2 8.9 5573 7.4 8.5 10.5
1950 4373 5.8 6.9 8.6 5401 7.1 7.9 9.8
1951 4359 5.7 6.7 8.3 5337 6.9 7.6 9.4
1952 4377 5.6 6.6 8.1 5450 6.9 7.6 9.5
1953 4377 5.5 6.5 8.0 5470 6.8 7.4 9.2
1954 4334 5.4 6.2 7.7 5328 6.5 7.0 8.7
1955 4302 5.2 6.1 7.5 5284 6.3 6.7 8.4
1956 4347 5.2 6.0 7.4 5242 6.2 6.5 8.1
1957 4462 5.3 6.0 7.4 5267 6.1 6.3 8.0
1958 4360 5.1 5.8 7.1 5276 6.0 6.2 7.7
1959 4292 4.9 5.6 6.8 5216 5.8 5.9 7.5
1960 4566 5.1 5.9 7.2 5162 5.7 5.7 7.3
1961 4449 4.9 5.6 6.9 5102 5.5 5.5 6.9
1962 4355 4.7 5.4 6.6 5026 5.3 5.3 6.7
1963 4502 4.8 5.5 6.8 5044 5.3 5.2 6.5
1964 4582 4.8 5.6 6.8 5076 5.2 5.1 6.4
1965 4631 4.8 5.6 6.9 5153 5.2 5.0 6.4
1966 4625 4.8 5.5 6.8 5108 5.1 4.8 6.1
1967 4669 4.8 5.5 6.8 5212 5.2 4.8 6.2
1968 4690 4.8 5.4 6.8 5096 5.0 4.6 5.9
1969 4611 4.6 5.3 6.6 5027 4.9 4.5 5.7
1970 4607 4.6 5.2 6.4 4951 4.7 4.3 5.5
1971 4711 4.6 5.2 6.5 4897 4.6 4.1 5.2
1972 4654 4.5 5.1 6.4 4998 4.7 4.1 5.2
1973 4558 4.4 4.9 6.1 4844 4.5 3.9 5.0
1974 4625 4.4 4.9 6.1 4969 4.5 3.9 5.0
1975 4514 4.3 4.7 5.9 4824 4.4 3.7 4.7
1976 4578 4.3 4.7 5.9 4784 4.3 3.6 4.5
1977 4764 4.4 4.8 6.0 4855 4.3 3.5 4.5
1978 4806 4.4 4.8 6.0 4997 4.4 3.5 4.5
1979 4894 4.5 4.8 5.9 5039 4.4 3.5 4.5
1980 4846 4.4 4.7 5.9 5193 4.5 3.5 4.5
1981 5110 4.6 4.8 6.1 5095 4.3 3.3 4.3
1982 5205 4.6 4.8 6.1 5318 4.5 3.4 4.4
1983 5378 4.7 4.9 6.2 5165 4.3 3.3 4.2
1984 5451 4.8 4.9 6.2 5301 4.4 3.3 4.2
1985 5611 4.8 5.0 6.2 5481 4.5 3.4 4.3
1986 5719 4.9 5.0 6.3 5475 4.4 3.3 4.2
1987 5881 5.0 5.0 6.3 5462 4.4 3.2 4.1
1988 6053 5.1 5.1 6.5 5475 4.4 3.2 4.1
1989 6383 5.3 5.3 6.7 5636 4.5 3.2 4.2
1990 6557 5.4 5.4 6.9 5811 4.6 3.3 4.2
1991 6739 5.5 5.4 6.9 6010 4.7 3.3 4.3
1992 7280 5.9 5.8 7.2 6219 4.8 3.4 4.3
1993 7458 5.9 5.8 7.2 6408 4.9 3.4 4.4
1994 7719 6.1 5.9 7.4 6492 4.9 3.4 4.4
1995 8225 6.4 6.2 7.7 6777 5.0 3.6 4.5
1996 8460 6.5 6.2 7.8 6776 5.0 3.5 4.5
1997 8688 6.6 6.3 7.8 6904 5.0 3.5 4.5
1998 9079 6.9 6.4 8.0 6807 4.9 3.4 4.4
