year number.f crude.f rate70.f rate00.f
1930 1815 3.1 3.8 4.4
1931 2030 3.5 4.2 4.8
1932 2148 3.7 4.4 5.0
1933 2304 3.7 4.4 5.0
1934 2676 4.3 5.0 5.7
1935 2795 4.4 5.2 5.9
1936 2941 4.6 5.3 6.1
1937 3018 4.7 5.4 6.2
1938 3312 5.1 5.8 6.7
1939 3554 5.5 6.1 7.1
1940 3697 5.6 6.2 7.0
1941 3961 6.0 6.5 7.4
1942 4000 5.9 6.4 7.3
1943 3997 5.9 6.3 7.2
1944 4229 6.1 6.5 7.4
1945 4386 6.3 6.6 7.5
1946 4696 6.6 6.9 8.0
1947 5059 7.0 7.3 8.3
1948 5326 7.2 7.6 8.7
1949 5528 7.4 7.7 8.8
1950 5652 7.4 7.7 8.9
1951 5927 7.6 7.9 9.1
1952 6277 8.0 8.2 9.5
1953 6483 8.1 8.2 9.6
1954 6838 8.4 8.5 9.9
1955 7060 8.5 8.6 10.0
1956 7240 8.5 8.6 10.0
1957 7567 8.8 8.8 10.2
1958 7579 8.6 8.6 10.1
1959 7901 8.8 8.8 10.2
1960 8046 8.8 8.8 10.2
1961 8116 8.7 8.6 10.0
1962 8340 8.8 8.7 10.2
1963 8507 8.9 8.7 10.1
1964 8571 8.8 8.6 10.0
1965 8933 9.1 8.8 10.3
1966 9163 9.2 8.9 10.3
1967 9168 9.1 8.7 10.1
1968 9489 9.3 8.8 10.3
1969 9788 9.5 9.0 10.5
1970 9958 9.5 9.0 10.5
1971 9978 9.4 8.8 10.2
1972 10170 9.5 8.8 10.3
1973 10002 9.2 8.5 9.9
1974 10335 9.4 8.6 10.1
1975 10465 9.5 8.5 10.0
1976 10870 9.7 8.7 10.2
1977 10653 9.4 8.3 9.7
1978 10803 9.5 8.3 9.7
1979 10721 9.3 8.0 9.5
1980 10895 9.4 8.0 9.5
1981 11006 9.3 7.9 9.4
1982 11255 9.5 7.9 9.4
1983 11375 9.5 7.9 9.3
1984 11373 9.4 7.8 9.2
1985 11531 9.4 7.8 9.2
1986 11903 9.7 7.9 9.4
1987 12020 9.7 7.8 9.3
1988 12397 9.9 7.9 9.4
1989 12431 9.8 7.8 9.3
1990 12762 10.0 7.9 9.5
1991 13247 10.3 8.1 9.7
1992 13393 10.3 8.0 9.6
1993 13033 9.9 7.6 9.2
1994 13677 10.3 7.9 9.6
1995 13524 10.1 7.7 9.3
1996 13342 9.8 7.5 9.1
1997 13673 10.0 7.5 9.2
1998 13544 9.8 7.3 8.9
