year number.f crude.f rate70.f rate00.f
1930 10699 18.5 25.1 30.1
1931 11183 19.1 25.4 30.6
1932 11615 19.7 25.7 30.9
1933 12316 19.8 25.7 30.8
1934 13010 20.8 26.4 31.6
1935 13064 20.7 26.0 31.3
1936 13537 21.3 26.5 32.0
1937 13757 21.5 26.2 31.6
1938 14315 22.2 26.8 32.4
1939 14712 22.6 26.9 32.5
1940 15308 23.3 27.6 33.8
1941 15316 23.0 26.8 32.7
1942 15735 23.4 26.8 32.8
1943 15924 23.4 26.7 32.6
1944 16160 23.4 26.2 32.0
1945 16896 24.2 26.9 32.9
1946 17274 24.4 26.8 33.0
1947 17817 24.7 27.0 33.5
1948 18928 25.8 28.0 34.6
1949 18320 24.5 26.1 31.9
1950 18734 24.6 26.0 31.9
1951 18958 24.5 25.7 31.6
1952 19664 24.9 25.9 31.6
1953 20342 25.3 26.2 32.2
1954 20679 25.3 26.0 31.8
1955 21708 26.1 26.6 32.5
1956 22054 26.0 26.3 32.3
1957 22459 26.0 26.2 32.1
1958 22460 25.5 25.6 31.3
1959 22871 25.5 25.5 31.1
1960 23755 26.1 26.0 31.8
1961 24311 26.2 25.9 31.7
1962 24733 26.2 25.8 31.4
1963 25139 26.2 25.8 31.2
1964 25936 26.6 26.0 31.6
1965 26805 27.2 26.4 32.0
1966 27304 27.3 26.4 31.9
1967 27985 27.7 26.5 32.1
1968 28816 28.2 26.8 32.4
1969 28830 27.9 26.4 31.7
1970 29652 28.4 26.7 32.2
1971 29969 28.2 26.3 31.7
1972 31162 29.0 26.9 32.3
1973 31850 29.4 27.0 32.4
1974 32132 29.4 26.7 32.1
1975 32158 29.1 26.3 31.6
1976 33119 29.6 26.5 31.8
1977 34481 30.5 27.0 32.5
1978 34329 30.1 26.5 31.7
1979 34400 29.8 26.0 31.2
1980 35641 30.6 26.5 31.8
1981 36483 30.9 26.6 31.9
1982 37414 31.4 26.8 32.2
1983 37979 31.6 26.7 32.1
1984 39472 32.6 27.3 32.9
1985 40093 32.8 27.5 33.0
1986 40539 32.9 27.3 32.9
1987 40899 32.9 27.1 32.7
1988 42172 33.6 27.5 33.2
1989 42837 33.9 27.5 33.2
1990 43391 34.0 27.5 33.3
1991 43583 33.7 27.0 32.7
1992 43068 33.0 26.2 31.7
1993 43555 33.0 25.9 31.5
1994 43644 32.7 25.5 31.1
1995 43844 32.6 25.2 30.8
1996 43091 31.7 24.3 29.8
1997 41943 30.6 23.3 28.5
1998 41737 30.2 22.7 27.9
