year number.m crude.m rate70.m rate00.m number.f crude.f rate70.f rate00.f
1930 7531 12.7 18.9 23.0 8505 14.7 21.9 27.1
1931 7823 13.1 19.3 23.7 8981 15.4 22.4 27.7
1932 8535 14.2 20.6 25.2 9359 15.9 22.9 28.5
1933 9266 14.6 21.0 25.7 10078 16.2 23.1 28.7
1934 10050 15.8 22.2 27.1 10795 17.2 24.0 29.7
1935 10252 16.0 22.3 27.5 11274 17.9 24.4 30.2
1936 10806 16.8 22.9 28.2 11881 18.7 25.3 31.5
1937 11588 17.9 24.3 29.9 12284 19.2 25.5 31.9
1938 12312 18.9 25.3 31.2 12821 19.8 26.0 32.4
1939 12808 19.5 25.9 32.1 13342 20.5 26.4 33.0
1940 13371 20.2 26.5 32.8 13679 20.8 26.6 33.5
1941 13447 20.1 26.2 32.5 13894 20.9 26.4 33.1
1942 13820 20.4 26.4 32.7 14071 20.9 26.1 33.1
1943 14506 21.2 27.0 33.6 14968 21.9 27.0 34.1
1944 14844 21.4 27.2 33.7 15450 22.4 27.1 34.3
1945 15570 22.2 28.0 34.9 15949 22.8 27.2 34.5
1946 15847 22.4 27.8 34.8 16392 23.2 27.2 34.5
1947 16388 22.8 28.2 35.5 16947 23.5 27.5 35.2
1948 16820 23.0 28.3 35.8 17212 23.4 27.1 34.8
1949 16282 21.9 26.9 34.2 16976 22.7 25.9 33.2
1950 16356 21.7 26.3 33.1 17027 22.4 25.2 32.3
1951 16220 21.1 25.5 32.3 17400 22.5 24.9 31.9
1952 16937 21.7 26.0 32.8 17581 22.3 24.5 31.5
1953 17341 21.9 26.1 33.0 18048 22.5 24.5 31.4
1954 17525 21.8 25.7 32.6 18509 22.6 24.3 31.2
1955 17979 21.9 25.9 33.1 18866 22.7 24.1 31.1
1956 18507 22.2 26.1 33.3 19087 22.5 23.7 30.4
1957 18727 22.1 25.9 33.0 19519 22.6 23.5 30.4
1958 18811 21.8 25.6 32.6 19679 22.4 23.2 29.9
1959 19129 21.8 25.5 32.6 20090 22.4 22.9 29.5
1960 19532 21.9 25.7 32.9 20629 22.7 23.1 29.8
1961 19974 22.0 25.7 32.9 21131 22.7 22.9 29.5
1962 20080 21.8 25.6 32.9 21355 22.6 22.5 29.0
1963 20184 21.6 25.3 32.5 21660 22.6 22.3 28.8
1964 20652 21.8 25.5 32.7 21840 22.4 21.9 28.3
1965 21265 22.2 26.0 33.5 22013 22.3 21.5 27.8
1966 21392 22.1 25.8 33.2 22775 22.8 21.7 28.1
1967 21409 21.9 25.5 32.7 22819 22.6 21.2 27.4
1968 21872 22.2 25.7 33.1 23228 22.7 21.1 27.3
1969 22402 22.6 26.1 33.7 23510 22.7 20.9 27.0
1970 22520 22.5 26.0 33.5 24145 23.1 21.0 27.0
1971 22764 22.4 25.7 33.1 24247 22.9 20.4 26.4
1972 23408 22.8 26.0 33.5 24570 22.9 20.1 26.1
1973 23039 22.3 25.3 32.8 25162 23.2 20.1 26.0
1974 24212 23.2 26.2 33.8 25791 23.6 20.1 26.1
1975 24165 22.9 25.6 33.1 25895 23.4 19.7 25.5
1976 24905 23.4 26.0 33.7 26824 24.0 19.8 25.8
1977 25339 23.6 25.9 33.6 26932 23.9 19.4 25.2
1978 26048 24.0 26.2 34.2 27934 24.5 19.5 25.5
1979 26474 24.2 26.1 34.0 28085 24.3 19.2 25.0
1980 27065 24.6 26.3 34.4 28412 24.4 19.0 24.9
1981 26915 24.1 25.6 33.4 28564 24.2 18.6 24.4
1982 27400 24.3 25.6 33.5 28743 24.1 18.3 23.9
1983 27967 24.6 25.7 33.6 28966 24.1 18.0 23.6
1984 28468 24.8 25.7 33.6 29989 24.8 18.3 24.0
1985 28669 24.8 25.5 33.2 29883 24.5 17.8 23.5
1986 28472 24.4 25.0 32.6 29372 23.8 17.3 22.7
1987 28832 24.4 24.9 32.4 29418 23.7 17.0 22.3
1988 28476 23.9 24.2 31.6 29271 23.3 16.6 21.8
1989 28634 23.8 23.9 31.3 29377 23.2 16.2 21.5
1990 29014 23.9 24.0 31.5 29184 22.9 15.9 21.1
1991 28626 23.3 23.1 30.2 29297 22.7 15.7 20.7
1992 28801 23.1 22.7 29.8 29262 22.4 15.3 20.3
1993 28749 22.9 22.2 29.1 29786 22.6 15.3 20.3
1994 29067 22.9 22.0 28.8 29485 22.1 14.9 19.8
1995 29043 22.6 21.6 28.2 29782 22.1 14.8 19.7
1996 28566 22.1 20.8 27.2 29321 21.6 14.3 19.1
1997 28699 21.9 20.5 26.8 29203 21.3 14.0 18.7
1998 28622 21.7 20.0 26.1 29489 21.3 14.0 18.6
